timestamp,v1,v2,v3,v4,t1,t2,t3,t4,c,s1,s2,s3,s4
1750342983623,3.9199999999999995,3.93,3.7399999999999998,3.94,35.3127242382871,34.569457506656875,35.439224775217326,34.6915034690893,2802.702702702703,1,1,1,1
1750342993633,3.9199999999999995,3.93,3.7399999999999998,3.93,35.3127242382871,34.569457506656875,35.439224775217326,34.6915034690893,2802.702702702703,1,1,1,1
1750343003631,3.9299999999999997,3.91,3.7399999999999998,3.93,35.439224775217326,34.6915034690893,35.566497485829586,34.6915034690893,2802.702702702703,1,1,1,1
1750343013635,3.93,3.9,3.73,3.93,35.439224775217326,34.6915034690893,35.69455125038377,34.81427130359282,2802.702702702703,1,1,1,1
1750343023637,3.9099999999999997,3.9,3.7300000000000004,3.92,35.566497485829586,34.6915034690893,35.69455125038377,34.937769054136595,2802.702702702703,1,1,1,1
1750343033637,3.9099999999999997,3.9,3.7199999999999998,3.92,35.566497485829586,34.81427130359282,35.69455125038377,34.937769054136595,2802.702702702703,1,1,1,1
1750343043639,3.9,3.9,3.7399999999999998,3.9,35.69455125038377,34.937769054136595,35.69455125038377,35.06200489664434,2829.7297297297296,1,1,1,1
1750343053643,3.89,3.9,3.73,3.9,35.69455125038377,35.06200489664434,35.69455125038377,35.06200489664434,2829.7297297297296,1,1,1,1
1750343063646,3.9,3.89,3.72,3.9,35.69455125038377,35.06200489664434,35.69455125038377,35.06200489664434,2802.702702702703,1,1,1,1
1750343073647,3.89,3.89,3.7100000000000004,3.9,35.69455125038377,35.18698714185939,35.69455125038377,35.06200489664434,2802.702702702703,1,1,1,1
1750343083650,3.8799999999999994,3.89,3.6999999999999997,3.9,35.69455125038377,35.18698714185939,35.69455125038377,35.06200489664434,2802.702702702703,1,1,1,1
1750343093661,3.88,3.88,3.69,3.9,35.69455125038377,35.3127242382871,35.69455125038377,35.18698714185939,2802.702702702703,1,1,1,1
1750343103646,3.87,3.88,3.69,3.9,35.69455125038377,35.3127242382871,35.69455125038377,35.18698714185939,2802.702702702703,1,1,1,1
1750343113645,3.8600000000000003,3.88,3.68,3.9,35.69455125038377,35.439224775217326,35.69455125038377,35.3127242382871,2802.702702702703,1,1,1,1
1750343123647,3.87,3.87,3.68,3.89,35.69455125038377,35.439224775217326,35.69455125038377,35.3127242382871,2802.702702702703,1,1,1,1
1750343133650,3.8600000000000003,3.87,3.68,3.89,35.953038217522476,35.566497485829586,35.953038217522476,35.3127242382871,2829.7297297297296,1,1,1,1
1750343143647,3.86,3.86,3.6699999999999995,3.89,36.21475978721509,35.69455125038377,36.34685740789212,35.3127242382871,2802.702702702703,1,1,1,1
1750343153648,3.85,3.86,3.67,3.88,36.34685740789212,35.69455125038377,36.34685740789212,35.3127242382871,2802.702702702703,1,1,1,1
1750343163647,3.85,3.85,3.67,3.88,36.34685740789212,35.69455125038377,36.34685740789212,35.439224775217326,2802.702702702703,1,1,1,1
1750343173647,3.8400000000000003,3.85,3.66,3.88,36.479792642922234,35.69455125038377,36.34685740789212,35.439224775217326,2802.702702702703,1,1,1,1
1750343183647,3.8400000000000003,3.85,3.6500000000000004,3.88,36.479792642922234,35.69455125038377,36.479792642922234,35.439224775217326,2802.702702702703,1,1,1,1
1750343193647,3.8299999999999996,3.85,3.6499999999999995,3.87,36.479792642922234,35.69455125038377,36.479792642922234,35.439224775217326,2802.702702702703,1,1,1,1
1750343203648,3.83,3.84,3.6399999999999997,3.87,36.61357549925725,35.69455125038377,36.479792642922234,35.566497485829586,2802.702702702703,1,1,1,1
1750343213647,3.8400000000000003,3.82,3.63,3.87,36.61357549925725,35.69455125038377,36.479792642922234,35.566497485829586,2802.702702702703,1,1,1,1
1750343223648,3.8300000000000005,3.82,3.64,3.86,36.61357549925725,35.69455125038377,36.61357549925725,35.566497485829586,2802.702702702703,1,1,1,1
1750343233649,3.82,3.82,3.6300000000000003,3.86,36.74821615989032,35.69455125038377,36.61357549925725,35.566497485829586,2802.702702702703,1,1,1,1
1750343243648,3.81,3.82,3.6300000000000003,3.86,36.74821615989032,35.69455125038377,36.61357549925725,35.566497485829586,2802.702702702703,1,1,1,1
